atmid,datetime,seg_st_mea,NAME,ROUTE_ID,month,day,hour,year
3020983787,8/23/2021 17:48,201.4177,Poweshiek,S001910080E,8,23,17,2021
3023110082,8/23/2021 22:37,140.7339,Jasper,S001910080W,8,23,22,2021
3023276937,8/23/2021 23:00,53.5617,Pottawattamie,S001910029N,8,23,23,2021
3031435462,8/24/2021 17:52,182.0397,Polk,S001910080W,8,24,17,2021
3033132645,8/24/2021 21:46,87.6439,Polk,S001910035N,8,24,21,2021
3033826885,8/24/2021 23:22,99.3016,Pottawattamie,S001910029S,8,24,23,2021
3040549123,8/25/2021 14:52,2.6464,Polk,S001910235W,8,25,14,2021
3040645197,8/25/2021 15:06,12.0961,Polk,S001910235E,8,25,15,2021
3040656318,8/25/2021 15:07,80.7644,Iowa,S001910080W,8,25,15,2021
3041767529,8/25/2021 17:42,0.9885,Johnson,S001910380N,8,25,17,2021
3049153627,8/26/2021 10:49,179.14,Polk,S001910080W,8,26,10,2021
3050972686,8/26/2021 15:03,127.6876,Polk,S001910035S,8,26,15,2021
3052293362,8/26/2021 18:06,238.7308,Johnson,S001910080E,8,26,18,2021
3054508523,8/26/2021 23:24,20.4857,Linn,S001910380N,8,26,23,2021
3058061770,8/27/2021 7:34,169.5355,Polk,S001910080W,8,27,7,2021
3061448965,8/27/2021 15:28,145.4103,Polk,S001910035S,8,27,15,2021
3061944215,8/27/2021 16:38,138.8246,Polk,S001910080E,8,27,16,2021
3063915484,8/27/2021 21:12,187.6996,Dallas,S001910080W,8,27,21,2021
3068244705,8/28/2021 7:14,178.5693,Jasper,S001910080E,8,28,7,2021
3076389047,8/29/2021 2:15,105.3796,Story,S001910035S,8,29,2,2021
3088781750,8/30/2021 7:10,6.5548,Polk,S001910235W,8,30,7,2021
3088945284,8/30/2021 7:33,8.5027,Polk,S001910235E,8,30,7,2021
3091901825,8/30/2021 14:37,126.2803,Polk,S001910035S,8,30,14,2021
3091934327,8/30/2021 14:42,116.3132,Story,S001910035N,8,30,14,2021
3092163478,8/30/2021 15:13,51.8585,Linn,S001910380S,8,30,15,2021
3092500274,8/30/2021 16:00,0.5877,Polk,S001910235W,8,30,16,2021
3094195662,8/30/2021 19:51,184.4082,Dallas,S001910080W,8,30,19,2021
3098769549,8/31/2021 6:18,122.93,Polk,S001910080E,8,31,6,2021
3101374366,8/31/2021 12:13,0.7337,Polk,S001910235W,8,31,12,2021
3103337833,8/31/2021 16:42,180.7309,Polk,S001910080W,8,31,16,2021
3103460128,8/31/2021 16:58,2.3596,Polk,S001910235E,8,31,16,2021
3103636937,8/31/2021 17:22,10.1235,Polk,S001910235W,8,31,17,2021
3103790751,8/31/2021 17:43,130.7615,Polk,S001910035S,8,31,17,2021
3103922361,8/31/2021 18:00,9.0456,Polk,S001910235W,8,31,18,2021
3113851004,9/1/2021 16:36,99.6725,Pottawattamie,S001910029S,9,1,16,2021
3114361964,9/1/2021 17:46,72.78,Johnson,S001910380S,9,1,17,2021
3121902258,9/2/2021 10:46,238.8226,Johnson,S001910080E,9,2,10,2021
3122096985,9/2/2021 11:12,111.4704,Story,S001910035N,9,2,11,2021
3124962360,9/2/2021 17:39,133.1346,Polk,S001910035N,9,2,17,2021
3132144185,9/3/2021 9:59,125.2038,Polk,S001910035N,9,3,9,2021
3134341660,9/3/2021 14:58,238.8226,Johnson,S001910080E,9,3,14,2021
3135372314,9/3/2021 17:18,139.422,Polk,S001910080E,9,3,17,2021
3137656393,9/3/2021 22:24,106.5536,Story,S001910035S,9,3,22,2021
3139965452,9/4/2021 3:38,10.7576,Polk,S001910235E,9,4,3,2021
3142808315,9/4/2021 10:05,151.5488,Jasper,S001910080E,9,4,10,2021
3143390501,9/4/2021 11:24,180.3772,Polk,S001910080W,9,4,11,2021
3143835119,9/4/2021 12:25,179.8952,Polk,S001910080W,9,4,12,2021
3144870456,9/4/2021 14:46,35.9605,Mills,S001910029N,9,4,14,2021
3144969819,9/4/2021 15:00,105.8665,Pottawattamie,S001910029S,9,4,15,2021
3145337204,9/4/2021 15:50,3.8332,Polk,S001910235E,9,4,15,2021
3154019741,9/5/2021 11:32,57.5215,Linn,S001910380S,9,5,11,2021
3154779637,9/5/2021 13:17,86.7186,Iowa,S001910080W,9,5,13,2021
3163496206,9/6/2021 9:06,129.4348,Polk,S001910035N,9,6,9,2021
3165946947,9/6/2021 14:42,136.6204,Polk,S001910035N,9,6,14,2021
3166806265,9/6/2021 16:41,151.3725,Warren,S001910035S,9,6,16,2021
3176106718,9/7/2021 13:54,112.5247,Story,S001910035S,9,7,13,2021
3177081874,9/7/2021 16:08,139.6767,Polk,S001910080E,9,7,16,2021
3187436189,9/8/2021 15:45,0.5937,Johnson,S001910380N,9,8,15,2021
3194560929,9/9/2021 7:50,6.1274,Polk,S001910235W,9,9,7,2021
3194703133,9/9/2021 8:09,145.8979,Polk,S001910035S,9,9,8,2021
3194741436,9/9/2021 8:15,13.0246,Polk,S001910235W,9,9,8,2021
3194757560,9/9/2021 8:17,180.3093,Polk,S001910080W,9,9,8,2021
3198769124,9/9/2021 17:25,119.8547,Dallas,S001910080E,9,9,17,2021
3200214637,9/9/2021 20:39,4.0585,Polk,S001910235E,9,9,20,2021
3200860946,9/9/2021 22:06,106.2875,Pottawattamie,S001910029S,9,9,22,2021
3201594329,9/9/2021 23:46,97.7847,Pottawattamie,S001910029S,9,9,23,2021
3206530011,9/10/2021 11:01,140.1569,Jasper,S001910080W,9,10,11,2021
3208921056,9/10/2021 16:27,52.5592,Linn,S001910380S,9,10,16,2021
3210744319,9/10/2021 20:33,216.6991,Iowa,S001910080E,9,10,20,2021
3219463002,9/11/2021 16:12,119.8876,Polk,S001910035S,9,11,16,2021
3228315773,9/12/2021 12:05,58.2025,Johnson,S001910080W,9,12,12,2021
3230480522,9/12/2021 16:59,79.746,Pottawattamie,S001910029S,9,12,16,2021
3247992293,9/14/2021 8:17,9.3364,Polk,S001910235W,9,14,8,2021
3253397716,9/14/2021 20:18,152.7398,Jasper,S001910080W,9,14,20,2021
3258948431,9/15/2021 8:38,238.1016,Johnson,S001910080E,9,15,8,2021
3260402140,9/15/2021 11:51,73.6508,Johnson,S001910080W,9,15,11,2021
3260828006,9/15/2021 12:48,70.4585,Johnson,S001910080W,9,15,12,2021
3261532989,9/15/2021 14:22,148.8613,Polk,S001910035S,9,15,14,2021
3265711589,9/15/2021 23:49,68.253,Polk,S001910035N,9,15,23,2021
3271495302,9/16/2021 12:46,6.5672,Black Hawk,S001910380S,9,16,12,2021
3280313150,9/17/2021 8:23,175.2684,Polk,S001910080W,9,17,8,2021
3280796393,9/17/2021 9:28,122.93,Polk,S001910080E,9,17,9,2021
3283391305,9/17/2021 15:17,126.4413,Jasper,S001910080W,9,17,15,2021
3284290279,9/17/2021 17:18,5.3277,Scott,S001910074E,9,17,17,2021
3284353468,9/17/2021 17:26,139.5742,Polk,S001910080E,9,17,17,2021
3284370282,9/17/2021 17:28,184.206,Dallas,S001910080W,9,17,17,2021
3284425464,9/17/2021 17:36,13.3735,Polk,S001910235W,9,17,17,2021
3287740351,9/18/2021 0:58,72.1036,Pottawattamie,S001910029N,9,18,0,2021
3288196359,9/18/2021 1:59,54.5413,Pottawattamie,S001910029N,9,18,1,2021
